% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.007404053e+02 +3.007404053e+02 +3.802204053e+02 +7.948000000e+01 -1.0431e+00 -4.3996e+00 +6.1594e-01 -2.5316e+00 +1.1354e+00 -3.1612e+00 +1.4649e-01 -3.1869e+00 +3.6812e+00 +1.6455e+00 +9.5559e-01 -4.1885e+00 +8.8298e-01 -1.9656e+00 -4.3870e+00 +4.2003e-02 -2.3196e+00 -3.6284e+00 -2.0638e+00 -2.5829e+00
391 +5.212113997e+01 +5.212113997e+01 +1.316011400e+02 +7.948000000e+01 +9.5236e-01 -8.5129e-01 -4.1207e+00 +5.4743e-01 -1.4491e+00 -1.7321e+00 -4.3789e+00 +7.0561e-01 -1.8337e-01 -2.4341e+00 -3.3742e+00 +3.0566e-01 +5.1463e-01 +9.0652e-02 +2.6982e+00 +1.0351e+00 -1.1972e+00 -4.6128e+00 +2.0583e+00 +2.5050e-01
587 +3.402954981e+01 +3.402954981e+01 +1.135095498e+02 +7.948000000e+01 +9.5236e-01 -8.5129e-01 -4.1207e+00 +5.4743e-01 -1.4491e+00 -1.7321e+00 +1.5582e-01 +7.0561e-01 -1.8337e-01 -2.4341e+00 -3.3742e+00 +3.0566e-01 +5.1463e-01 +9.0652e-02 +2.6982e+00 +1.0351e+00 -1.1972e+00 -4.6128e+00 +2.0583e+00 +2.5050e-01
979 +2.123950926e+01 +2.123950926e+01 +1.007195093e+02 +7.948000000e+01 +1.2115e+00 -2.6112e+00 -1.0687e+00 +5.4743e-01 -2.3776e+00 +1.5658e+00 +1.5582e-01 +7.0561e-01 -1.8337e-01 -2.4341e+00 -3.3742e+00 +3.0566e-01 +5.1463e-01 +9.0652e-02 +2.6982e+00 +1.0351e+00 +1.3920e+00 -4.7346e+00 +2.0583e+00 +3.8778e-01
1363 +1.581088737e+01 +1.581088737e+01 +9.529088737e+01 +7.948000000e+01 +9.5236e-01 -8.5129e-01 -1.0687e+00 +1.9061e+00 -2.3776e+00 +1.5658e+00 +1.5582e-01 +7.0561e-01 -1.8337e-01 -2.4341e+00 -3.3742e+00 +3.0566e-01 +5.1463e-01 -1.3694e-01 +2.6982e+00 +1.0351e+00 -1.1972e+00 -4.6128e+00 +2.0583e+00 +2.5050e-01
1955 +9.146937846e+00 +9.146937846e+00 +8.862693785e+01 +7.948000000e+01 +9.5236e-01 -8.5129e-01 -1.0687e+00 +1.9061e+00 -2.3776e+00 +1.5658e+00 +1.5582e-01 +7.0561e-01 -1.8337e-01 -2.4341e+00 -3.3742e+00 +2.3773e+00 +5.1463e-01 +9.0652e-02 +3.1532e+00 +2.3899e+00 -1.1972e+00 -4.6128e+00 +2.0583e+00 +2.5050e-01
2741 +5.970137201e+00 +5.970137201e+00 +8.545013720e+01 +7.948000000e+01 +3.3241e-01 -8.5129e-01 -1.0687e+00 +1.9061e+00 -2.3776e+00 +1.5658e+00 +1.5582e-01 +7.0561e-01 -4.2729e-01 -2.4341e+00 -3.3742e+00 +2.3773e+00 +5.1463e-01 +9.0652e-02 +3.1532e+00 +2.3899e+00 -3.3596e-01 -4.6128e+00 +2.0583e+00 +8.2079e-01
3326 +3.717930808e+00 +3.717930808e+00 +8.319793081e+01 +7.948000000e+01 +3.3241e-01 -8.5129e-01 -5.8885e-01 +1.9061e+00 -2.3776e+00 +9.4282e-01 +1.5582e-01 +3.3732e-01 -4.2729e-01 -3.1384e+00 -3.3742e+00 +2.3773e+00 +1.1510e+00 -4.7344e-01 +3.3599e+00 +2.8603e+00 -5.8335e-01 -4.6128e+00 +2.0583e+00 +8.2079e-01
3910 +2.007289626e+00 +2.007289626e+00 +8.148728963e+01 +7.948000000e+01 +3.3241e-01 -8.5129e-01 -5.8885e-01 +1.9061e+00 -2.3776e+00 +6.6103e-01 +1.5582e-01 +3.3732e-01 -8.9596e-01 -3.1384e+00 -3.3742e+00 +2.3773e+00 +1.1510e+00 -4.7344e-01 +3.3599e+00 +2.8603e+00 -3.3596e-01 -4.1360e+00 +2.0583e+00 +8.2079e-01
4497 +1.533922578e+00 +1.533922578e+00 +8.101392258e+01 +7.948000000e+01 +3.3241e-01 -8.5129e-01 -5.8885e-01 +1.9061e+00 -2.3776e+00 +6.6103e-01 +1.5582e-01 +3.3732e-01 -8.9596e-01 -3.1384e+00 -4.0137e+00 +2.3773e+00 +8.1492e-01 +9.0652e-02 +3.3599e+00 +2.8603e+00 -3.3596e-01 -4.1360e+00 +2.0583e+00 +1.0961e+00
