% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.483325505e+03 +2.483325505e+03 +2.021235505e+03 -4.620900000e+02 +2.8817e+00 -2.7102e+00 +3.6457e+00 +2.0054e+00 -1.5463e+00 +5.7492e-01 +4.4642e+00 +1.8241e+00 +3.4361e+00 +9.7831e-01 -3.9003e+00 -2.9770e+00 -1.9694e+00 +3.6252e+00 -9.7044e-01 -4.8935e+00 +4.5873e+00 -2.3390e-01 +1.0145e+00 -3.8703e+00
377 +5.546786757e+02 +5.546786757e+02 +9.258867570e+01 -4.620900000e+02 +2.7657e+00 +3.1702e+00 +4.3681e+00 -1.1871e-01 +2.1667e-02 +2.7677e+00 +3.6414e+00 +2.4475e+00 +4.3718e+00 -2.7685e+00 -4.9614e+00 -2.8781e+00 -4.5627e+00 -4.5038e+00 -3.7043e-01 -4.5418e+00 -2.6909e+00 +4.2162e+00 -1.4031e+00 -1.3299e+00
758 +3.561929801e+02 +3.561929801e+02 -1.058970199e+02 -4.620900000e+02 -6.9004e-01 -1.0261e+00 +3.0601e+00 -1.6199e+00 +4.7827e+00 +4.0118e+00 +1.8556e+00 +2.3449e+00 +1.8488e+00 +8.0839e-01 -4.9245e+00 -5.5784e-01 -5.4735e-01 -2.3471e+00 -5.7080e-01 -4.2920e+00 -1.7513e+00 +3.7919e+00 -1.4031e+00 +1.8377e+00
1327 +2.291302427e+02 +2.291302427e+02 -2.329597573e+02 -4.620900000e+02 +1.3409e+00 -6.3210e-01 +4.6399e+00 +1.4989e+00 +4.4784e+00 +4.0118e+00 +1.8556e+00 +2.5873e+00 +1.8488e+00 +8.0839e-01 -4.2615e+00 -3.7113e+00 -7.5063e-01 -2.2885e+00 -5.7080e-01 -4.2920e+00 -1.7513e+00 +4.8530e+00 -3.8495e+00 +1.1683e+00
1906 +1.555722731e+02 +1.555722731e+02 -3.065177269e+02 -4.620900000e+02 +8.5449e-01 -5.9661e-01 +4.6399e+00 +1.4989e+00 +4.4784e+00 +3.4384e+00 +1.8556e+00 +2.5873e+00 +1.8488e+00 +8.0839e-01 -4.2022e+00 -3.7113e+00 -5.4735e-01 -2.3471e+00 -5.7080e-01 -4.2920e+00 -1.7513e+00 +3.7919e+00 -3.8495e+00 +1.1683e+00
2845 +9.701219892e+01 +9.701219892e+01 -3.650778011e+02 -4.620900000e+02 +5.6990e-01 -6.3210e-01 +2.3347e+00 -1.1871e-01 +2.1667e-02 +2.7677e+00 +1.8556e+00 +2.5873e+00 +1.8488e+00 +1.1572e-02 -4.2022e+00 -3.7113e+00 -1.9136e-01 -1.7639e+00 -1.3426e+00 -4.2920e+00 -1.0895e+00 +2.9279e+00 -3.5101e+00 +1.1683e+00
4343 +5.800669206e+01 +5.800669206e+01 -4.040833079e+02 -4.620900000e+02 +6.3184e-01 -6.3210e-01 +2.2137e+00 -1.7903e-01 +8.8266e-01 +3.0079e+00 +1.8556e+00 +2.5873e+00 +1.8488e+00 +1.1572e-02 -3.3638e+00 -3.7113e+00 -5.4735e-01 -3.0064e+00 -1.3426e+00 -4.2920e+00 -7.0310e-01 +2.9279e+00 -3.5101e+00 +1.1683e+00
5652 +3.758033482e+01 +3.758033482e+01 -4.245096652e+02 -4.620900000e+02 +6.3184e-01 -6.3210e-01 +2.2137e+00 -1.7903e-01 +1.4308e+00 +3.0079e+00 +1.8556e+00 +2.5873e+00 +1.8488e+00 +1.1572e-02 -3.3638e+00 -3.7960e+00 -1.6916e-01 -2.4679e+00 -1.3849e+00 -4.2920e+00 -7.0310e-01 +2.9279e+00 -2.8248e+00 +1.4814e+00
9225 +2.474446670e+01 +2.474446670e+01 -4.373455333e+02 -4.620900000e+02 -3.9914e-01 -6.3210e-01 +2.2137e+00 -1.7116e-01 +2.3386e+00 +2.9801e+00 +2.5207e+00 +2.5873e+00 +1.8248e+00 +6.2617e-01 -3.3638e+00 -3.7960e+00 -1.6916e-01 -2.9526e+00 -1.3849e+00 -3.9022e+00 -7.0310e-01 +2.9422e+00 -2.8248e+00 +2.1764e+00
37685 +1.560048210e+01 +1.560048210e+01 -4.464895179e+02 -4.620900000e+02 -2.3649e+00 +3.2831e+00 +2.1904e+00 +2.4786e+00 +2.2475e+00 +2.1913e+00 +3.2032e+00 +1.9111e+00 +1.1053e+00 +6.6566e-02 -2.7710e+00 -3.7790e+00 -1.3555e-01 -2.9538e+00 -9.1294e-01 -3.9478e+00 -3.1668e-01 +2.9680e+00 -2.4467e+00 +2.1578e+00
62594 +9.959640002e+00 +9.959640002e+00 -4.521303600e+02 -4.620900000e+02 -3.6147e-01 +1.3727e+00 +2.2137e+00 -1.7116e-01 +2.2984e+00 +2.2029e+00 +2.5207e+00 +2.5873e+00 +1.8104e+00 +6.2617e-01 -2.7331e+00 -3.7960e+00 -1.4514e-01 -2.9526e+00 -1.3849e+00 -3.9022e+00 -3.4030e-01 +2.9422e+00 -2.8248e+00 +1.8061e+00
64841 +5.109603642e+00 +5.109603642e+00 -4.569803964e+02 -4.620900000e+02 -1.3631e+00 +1.3508e+00 +2.2137e+00 +7.5140e-01 +2.2984e+00 +2.2029e+00 +2.5207e+00 +2.5957e+00 +1.8104e+00 +6.2187e-01 -2.7331e+00 -3.7960e+00 -1.4514e-01 -2.9526e+00 -1.3849e+00 -3.9111e+00 -3.4030e-01 +2.9422e+00 -2.8248e+00 +1.8061e+00
