% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.911055865e+02 +1.911055865e+02 +2.705855865e+02 +7.948000000e+01 +4.6963e+00 -1.5034e+00 -1.1858e+00 -3.7933e+00 -4.7546e+00 +2.1869e+00 -7.6766e-01 -1.8327e+00 +4.6356e+00 +2.2803e+00 -4.3939e+00 +2.0916e+00 -3.7589e+00 -1.0146e-01 +3.1836e+00 -1.9669e-01 -4.2342e+00 -1.6885e+00 +3.8034e+00 +2.5116e+00
185 +6.185210969e+01 +6.185210969e+01 +1.413321097e+02 +7.948000000e+01 +3.2413e+00 -7.3850e-01 -2.8701e+00 +3.6145e+00 -2.2463e+00 -2.9031e+00 +5.9012e-01 -9.7588e-01 -1.4586e+00 -2.2028e+00 +8.2982e-01 +1.4573e+00 -6.0574e-01 +6.9682e-01 +4.7121e+00 +2.3438e+00 -6.7529e-01 -3.0812e+00 +1.5520e+00 -2.6178e-01
1136 +3.920074692e+01 +3.920074692e+01 +1.186807469e+02 +7.948000000e+01 -1.2217e+00 +4.8634e-01 +5.5178e-01 +1.7217e+00 +1.5936e+00 -1.0982e+00 -1.1912e+00 -6.9347e-01 -1.6180e+00 -3.6826e+00 -4.6096e+00 +2.8053e+00 +2.5609e+00 +1.3896e+00 +4.2798e+00 +3.4097e+00 -1.9199e+00 -4.0834e+00 +1.7666e+00 +1.2688e+00
1693 +2.405197377e+01 +2.405197377e+01 +1.035319738e+02 +7.948000000e+01 +4.9519e-01 -1.4351e+00 +1.7779e+00 +2.1175e+00 -1.7272e+00 -3.3645e-01 -1.5541e+00 +2.4271e+00 -1.0540e+00 -4.1319e+00 -2.9278e+00 +1.9772e+00 +7.2207e-01 +1.3896e+00 +4.2798e+00 +2.3438e+00 -1.9199e+00 -3.6943e+00 +2.1697e+00 +1.2688e+00
2076 +1.233245689e+01 +1.233245689e+01 +9.181245689e+01 +7.948000000e+01 +1.3235e+00 -1.4351e+00 +5.7592e-01 +1.7217e+00 -2.2463e+00 +4.8695e-02 -1.2664e+00 -5.4574e-01 -1.6180e+00 -3.6826e+00 -4.6096e+00 +2.8053e+00 +7.2207e-01 +6.9682e-01 +4.5483e+00 +2.3438e+00 -1.7097e+00 -2.9661e+00 +1.7666e+00 +1.2688e+00
3011 +9.832537347e+00 +9.832537347e+00 +8.931253735e+01 +7.948000000e+01 +7.6286e-01 -1.4351e+00 +5.7592e-01 +1.7217e+00 -2.1496e+00 -1.0982e+00 -1.1912e+00 +2.1911e-01 -1.6180e+00 -3.6826e+00 -4.6096e+00 +1.8346e+00 +7.2207e-01 -6.1518e-01 +4.2456e+00 +2.3438e+00 -1.6905e-01 -2.6588e+00 +1.9322e+00 +1.6081e+00
3777 +5.101833763e+00 +5.101833763e+00 +8.458183376e+01 +7.948000000e+01 +1.1770e+00 -1.4351e+00 -1.2699e-01 +1.7217e+00 -2.2463e+00 +2.8347e-01 -6.3239e-01 -6.9347e-01 -1.6180e+00 -3.6826e+00 -4.5522e+00 +1.8346e+00 +5.5515e-01 +6.9682e-01 +4.2798e+00 +2.3438e+00 -1.6905e-01 -4.0834e+00 +2.2740e+00 +1.6081e+00
4547 +3.920228877e+00 +3.920228877e+00 +8.340022888e+01 +7.948000000e+01 +1.1770e+00 -1.4351e+00 -1.2699e-01 +1.7217e+00 -2.2463e+00 +2.8347e-01 -4.2739e-02 -4.9793e-01 -1.6180e+00 -3.6826e+00 -4.1995e+00 +1.9772e+00 +7.2207e-01 +6.9682e-01 +3.9173e+00 +2.4054e+00 -6.7529e-01 -4.0834e+00 +2.2740e+00 +1.6081e+00
5303 +2.483938272e+00 +2.483938272e+00 +8.196393827e+01 +7.948000000e+01 +5.3986e-01 -1.4351e+00 -1.2699e-01 +1.7217e+00 -2.2463e+00 +2.8347e-01 -3.8636e-01 -5.4574e-01 -1.6180e+00 -3.5450e+00 -4.1995e+00 +1.9772e+00 +1.1210e+00 -6.1518e-01 +4.2798e+00 +2.6202e+00 -1.6905e-01 -3.8940e+00 +2.4048e+00 +1.6081e+00
6645 +1.504561424e+00 +1.504561424e+00 +8.098456142e+01 +7.948000000e+01 +5.3986e-01 -1.4351e+00 -1.2699e-01 +1.7217e+00 -2.2463e+00 +2.8347e-01 -4.2739e-02 +2.1911e-01 -1.6180e+00 -3.2306e+00 -4.1995e+00 +1.9772e+00 +7.2207e-01 +1.7926e-01 +4.1060e+00 +2.6202e+00 -1.6905e-01 -3.8940e+00 +2.4048e+00 +1.6081e+00
