% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.662479896e+02 +2.662479896e+02 +2.570379896e+02 -9.210000000e+00 -2.9176e-01 -4.5155e+00 -1.2045e+00 +4.7255e+00 +4.3933e+00 +4.5805e-01 +4.8491e+00 +1.2614e+00 +9.6289e-01 +8.1947e-01 +2.9364e+00 -2.4448e+00 +4.7489e+00 +2.5436e+00 -4.7764e+00 -2.3019e+00 -5.4981e-01 +1.7375e+00 -4.4625e+00 +4.7593e-01
185 +2.061369735e+02 +2.061369735e+02 +1.969269735e+02 -9.210000000e+00 -4.3521e+00 -3.3408e+00 -3.0174e+00 -9.1028e-01 -2.1288e+00 +3.2046e+00 -1.0634e-01 +3.5739e+00 -6.2476e-01 -2.3787e+00 -3.5068e+00 -3.6074e+00 +3.7796e+00 +2.4166e+00 -3.9112e+00 +2.2790e+00 +2.1024e+00 +4.8087e+00 -4.9147e+00 +2.7008e+00
917 +1.577103976e+02 +1.577103976e+02 +1.485003976e+02 -9.210000000e+00 -3.7824e+00 +3.9100e+00 +4.3859e+00 -4.6206e+00 -1.6889e+00 +3.2046e+00 +2.5780e+00 +3.5739e+00 -6.2476e-01 -2.3787e+00 -2.1708e+00 -2.5445e+00 +2.4503e+00 +4.9380e+00 -1.1037e+00 -3.1667e+00 +4.1939e+00 +4.8087e+00 -4.9147e+00 +2.7008e+00
1846 +9.671310010e+01 +9.671310010e+01 +8.750310010e+01 -9.210000000e+00 +4.4478e+00 +3.9100e+00 +4.3859e+00 +3.5355e+00 -3.3714e+00 +1.8157e+00 -4.2198e+00 +3.7370e+00 +4.7587e+00 -2.3787e+00 -3.5068e+00 -3.6074e+00 +4.7575e+00 +2.4166e+00 -4.3889e+00 -4.9760e+00 +2.7598e+00 +4.4756e+00 -4.9147e+00 +4.4654e+00
3497 +5.179520767e+01 +5.179520767e+01 +4.258520767e+01 -9.210000000e+00 +4.4478e+00 +3.9100e+00 +4.3859e+00 +3.5355e+00 -1.4817e+00 +5.1190e+00 +4.4857e+00 +4.5213e+00 +4.6329e+00 -2.3787e+00 -2.1708e+00 -4.5765e+00 +3.9865e+00 +4.9380e+00 -4.3889e+00 -4.9760e+00 +3.7604e+00 +4.8087e+00 -4.9147e+00 +4.9648e+00
4427 +3.706519802e+01 +3.706519802e+01 +2.785519802e+01 -9.210000000e+00 +4.4478e+00 +3.9100e+00 +4.3859e+00 +3.5355e+00 -1.2999e+00 +3.7478e+00 +4.4857e+00 +3.1174e+00 +4.7022e+00 -3.0045e+00 -4.5439e+00 -5.4186e+00 +4.7575e+00 +5.5313e+00 -4.3889e+00 -4.9760e+00 +4.5335e+00 +4.8087e+00 -4.9147e+00 +4.9648e+00
5907 +2.226257603e+01 +2.226257603e+01 +1.305257603e+01 -9.210000000e+00 +4.6944e+00 +3.9100e+00 +4.3494e+00 +3.5355e+00 -4.1726e+00 +3.7478e+00 +4.4857e+00 +4.5213e+00 +5.6269e+00 -4.3450e+00 -4.9872e+00 -5.1539e+00 +4.1929e+00 +5.8581e+00 -4.2453e+00 -4.9760e+00 +5.1452e+00 +4.8087e+00 -4.9147e+00 +5.3562e+00
6457 +1.503164434e+01 +1.503164434e+01 +5.821644344e+00 -9.210000000e+00 +4.6944e+00 +3.9100e+00 +4.2060e+00 +3.8169e+00 -4.4266e+00 +5.1190e+00 +4.4857e+00 +4.5213e+00 +4.7022e+00 -4.7635e+00 -5.9103e+00 -5.1539e+00 +4.7575e+00 +5.4837e+00 -4.3889e+00 -4.9995e+00 +4.8501e+00 +5.1775e+00 -4.9147e+00 +4.9993e+00
7206 +9.787327364e+00 +9.787327364e+00 +5.773273639e-01 -9.210000000e+00 +4.4478e+00 +4.4610e+00 +4.3859e+00 +3.7462e+00 -4.4266e+00 +5.1190e+00 +4.5825e+00 +4.8831e+00 +5.0983e+00 -4.7635e+00 -5.9103e+00 -5.1539e+00 +4.7575e+00 +5.1834e+00 -4.9752e+00 -4.9516e+00 +4.8501e+00 +5.1437e+00 -4.9147e+00 +5.1949e+00
8862 +6.290180026e+00 +6.290180026e+00 -2.919819974e+00 -9.210000000e+00 +4.6944e+00 +3.9100e+00 +4.7053e+00 +3.8169e+00 -4.5970e+00 +5.1190e+00 +4.5825e+00 +5.8098e+00 +5.0983e+00 -4.7635e+00 -6.8010e+00 -5.1539e+00 +5.5898e+00 +4.9380e+00 -5.2947e+00 -4.9760e+00 +5.4604e+00 +5.1437e+00 -5.2724e+00 +4.9993e+00
17176 +3.444457634e+00 +3.444457634e+00 -5.765542366e+00 -9.210000000e+00 +4.7941e+00 +4.6827e+00 +4.6189e+00 +5.5295e+00 -4.6190e+00 +5.0423e+00 +4.5157e+00 +4.9565e+00 +5.6883e+00 -4.9213e+00 -5.0832e+00 -5.2093e+00 +6.0780e+00 +5.1098e+00 -5.5147e+00 -4.9288e+00 +5.0657e+00 +5.8461e+00 -5.9148e+00 +5.4967e+00
17928 +1.845252288e+00 +1.845252288e+00 -7.364747712e+00 -9.210000000e+00 +4.9530e+00 +4.6827e+00 +4.6189e+00 +5.5295e+00 -4.6190e+00 +5.0423e+00 +5.2798e+00 +4.9565e+00 +5.5675e+00 -4.9213e+00 -5.0832e+00 -6.1761e+00 +5.2501e+00 +5.0794e+00 -5.3671e+00 -5.0503e+00 +5.0657e+00 +5.8461e+00 -6.1139e+00 +6.0080e+00
18290 +1.546979635e+00 +1.546979635e+00 -7.663020365e+00 -9.210000000e+00 +4.6642e+00 +4.6827e+00 +5.6042e+00 +5.5295e+00 -4.6190e+00 +5.0423e+00 +5.2798e+00 +5.1932e+00 +5.6883e+00 -4.9213e+00 -5.0891e+00 -5.2093e+00 +6.1782e+00 +5.1098e+00 -5.3671e+00 -5.0139e+00 +5.0823e+00 +5.8461e+00 -5.9148e+00 +6.0080e+00
78793 +9.572709868e-01 +9.572709868e-01 -8.252729013e+00 -9.210000000e+00 +4.9340e+00 +5.0936e+00 +4.6926e+00 +4.7191e+00 -5.2753e+00 +5.5278e+00 +5.9929e+00 +5.5533e+00 +5.0439e+00 -5.3437e+00 -5.1504e+00 -5.0273e+00 +4.9777e+00 +6.2814e+00 -5.0312e+00 -5.4007e+00 +5.2103e+00 +5.4294e+00 -5.6970e+00 +5.4032e+00
79311 +4.577458663e-01 +4.577458663e-01 -8.752254134e+00 -9.210000000e+00 +4.9340e+00 +5.2600e+00 +4.6926e+00 +6.1115e+00 -5.2023e+00 +5.5278e+00 +5.9929e+00 +5.0692e+00 +5.0439e+00 -5.3437e+00 -5.1504e+00 -5.0273e+00 +5.1611e+00 +5.2551e+00 -5.3376e+00 -5.2394e+00 +5.2103e+00 +5.9337e+00 -5.6558e+00 +5.4032e+00
79663 +3.917442694e-01 +3.917442694e-01 -8.818255731e+00 -9.210000000e+00 +5.1873e+00 +5.1528e+00 +4.6926e+00 +6.1115e+00 -5.2023e+00 +5.5278e+00 +5.3259e+00 +5.5533e+00 +5.0439e+00 -5.3672e+00 -5.3804e+00 -5.5013e+00 +5.5566e+00 +5.9083e+00 -5.3376e+00 -5.3829e+00 +5.7881e+00 +5.9337e+00 -5.6970e+00 +5.4032e+00
80194 +1.329030040e-01 +1.329030040e-01 -9.077096996e+00 -9.210000000e+00 +4.9340e+00 +5.2600e+00 +5.1364e+00 +5.9198e+00 -5.6632e+00 +6.6141e+00 +5.9929e+00 +5.0692e+00 +4.9746e+00 -5.3437e+00 -5.1504e+00 -5.5013e+00 +5.3169e+00 +6.2814e+00 -5.0312e+00 -5.2394e+00 +5.2103e+00 +5.0606e+00 -6.5294e+00 +5.3736e+00
80386 +6.600159686e-02 +6.600159686e-02 -9.143998403e+00 -9.210000000e+00 +4.9340e+00 +5.2600e+00 +5.1364e+00 +5.9198e+00 -5.8432e+00 +6.1852e+00 +5.9929e+00 +5.1271e+00 +5.0439e+00 -5.3437e+00 -5.1504e+00 -5.5013e+00 +5.3169e+00 +6.2814e+00 -5.0312e+00 -5.2394e+00 +5.2103e+00 +5.0606e+00 -6.5294e+00 +5.3736e+00
80552 +2.131628207e-14 +2.131628207e-14 -9.210000000e+00 -9.210000000e+00 +5.0958e+00 +5.2600e+00 +5.1364e+00 +5.3944e+00 -5.2023e+00 +5.5278e+00 +5.9929e+00 +6.1593e+00 +5.7347e+00 -5.2850e+00 -5.0862e+00 -5.0273e+00 +5.6090e+00 +5.8864e+00 -5.0312e+00 -5.0041e+00 +5.1036e+00 +5.0606e+00 -5.8907e+00 +5.3794e+00
% function evaluation | noise-free fitness - Fopt (6.559900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.337309597e+02 +4.337309597e+02 +1.089720960e+03 +6.559900000e+02 +4.0487e+00 +2.7507e+00 +4.8007e+00 +4.5820e+00 -2.8238e+00 +1.7949e+00 +6.3388e-01 -4.9245e+00 +2.9678e+00 +1.5977e+00 +4.7427e+00 +3.6702e-01 -3.1810e+00 +4.2199e+00 -9.7364e-02 +4.9289e+00 -8.5461e-01 -2.3814e+00 -2.9434e+00 -2.3465e+00
188 +2.338066242e+02 +2.338066242e+02 +8.897966242e+02 +6.559900000e+02 -4.7094e+00 -4.4476e+00 +2.1285e+00 -2.1475e+00 +2.1985e+00 -2.3012e+00 -2.2382e+00 +4.0218e+00 -2.9461e+00 +7.4972e-01 +4.4305e+00 -4.1328e+00 +1.6312e+00 -2.2343e+00 +4.1119e+00 +3.3177e+00 -3.2451e+00 -4.7465e+00 -8.9027e-01 +3.8969e+00
1145 +1.558173725e+02 +1.558173725e+02 +8.118073725e+02 +6.559900000e+02 +5.3085e-01 -1.8865e+00 -3.9517e+00 -1.3750e+00 -3.7030e+00 -2.6337e+00 -2.2018e+00 -1.5491e+00 -2.1560e+00 -4.9048e+00 -9.5823e-01 +4.6293e+00 +4.7047e+00 -3.5655e+00 +4.6534e+00 +4.8873e+00 +1.0145e+00 -4.2332e+00 +3.4177e+00 +4.2038e+00
2687 +9.426259788e+01 +9.426259788e+01 +7.502525979e+02 +6.559900000e+02 +2.4129e+00 -3.7864e+00 -4.4884e+00 +3.3074e+00 -4.0725e+00 -2.7645e+00 -2.2018e+00 -1.5491e+00 -2.1560e+00 -4.9048e+00 +4.4305e+00 +4.6293e+00 +4.7047e+00 -3.5655e+00 +4.6534e+00 +4.9704e+00 -4.9269e+00 -4.2332e+00 +3.4177e+00 +3.1386e+00
3466 +6.143604432e+01 +6.143604432e+01 +7.174260443e+02 +6.559900000e+02 +1.9049e+00 -3.1899e+00 -1.4981e+00 +4.4085e+00 -4.2403e+00 -2.7531e+00 -2.2018e+00 +5.2782e+00 -3.4458e+00 -4.9048e+00 +4.3000e+00 +4.6293e+00 +4.7047e+00 -3.9136e+00 +3.2912e+00 +4.8873e+00 -4.4789e+00 -4.2332e+00 +4.4956e+00 +4.8937e+00
4617 +3.829158537e+01 +3.829158537e+01 +6.942815854e+02 +6.559900000e+02 +2.4129e+00 -3.7864e+00 -4.4884e+00 +3.3074e+00 -4.0725e+00 -4.9159e+00 -3.5933e+00 +5.2782e+00 -3.4458e+00 -5.3393e+00 +4.3000e+00 +4.6293e+00 +3.6617e+00 -3.8716e+00 +4.5662e+00 +4.9704e+00 -4.9269e+00 -5.1208e+00 +4.4830e+00 +5.1490e+00
6360 +2.283558131e+01 +2.283558131e+01 +6.788255813e+02 +6.559900000e+02 +2.2505e+00 -3.7864e+00 -3.9517e+00 +4.4085e+00 -4.2403e+00 -4.9159e+00 -4.8937e+00 +5.2782e+00 -3.4458e+00 -4.9048e+00 +4.3000e+00 +5.4492e+00 +4.7047e+00 -3.9136e+00 +5.2495e+00 +4.9704e+00 -4.9269e+00 -5.1208e+00 +5.1651e+00 +4.9017e+00
7905 +1.411446339e+01 +1.411446339e+01 +6.701044634e+02 +6.559900000e+02 +2.2505e+00 -3.7864e+00 -4.6596e+00 +4.4085e+00 -4.3747e+00 -4.9159e+00 -4.8937e+00 +5.2782e+00 -3.8210e+00 -4.9048e+00 +4.4305e+00 +5.4492e+00 +4.9202e+00 -5.1149e+00 +5.2495e+00 +4.9704e+00 -4.9269e+00 -5.1208e+00 +5.1651e+00 +4.9017e+00
9061 +9.450520951e+00 +9.450520951e+00 +6.654405210e+02 +6.559900000e+02 +1.9049e+00 -5.1139e+00 -4.4884e+00 +4.4085e+00 -4.0725e+00 -5.1529e+00 -4.8937e+00 +4.8838e+00 -4.1542e+00 -4.9048e+00 +5.2583e+00 +5.4492e+00 +4.9202e+00 -5.1149e+00 +5.2495e+00 +5.0305e+00 -5.2567e+00 -5.1208e+00 +5.1651e+00 +5.1818e+00
17083 +5.189163670e+00 +5.189163670e+00 +6.611791637e+02 +6.559900000e+02 +4.6764e+00 -5.4953e+00 -4.6164e+00 +2.8912e+00 -5.4024e+00 -5.8608e+00 -4.9036e+00 +5.1435e+00 -4.7305e+00 -5.0561e+00 +5.0979e+00 +5.0457e+00 +5.1366e+00 -4.9867e+00 +5.0379e+00 +5.2958e+00 -5.1410e+00 -4.9529e+00 +5.0749e+00 +5.1362e+00
17626 +2.408351054e+00 +2.408351054e+00 +6.583983511e+02 +6.559900000e+02 +5.8571e+00 -6.0867e+00 -4.8869e+00 +5.2631e+00 -5.4024e+00 -6.0456e+00 -5.2034e+00 +4.5256e+00 -4.8146e+00 -4.7973e+00 +5.2788e+00 +5.0457e+00 +5.1366e+00 -4.9867e+00 +5.0379e+00 +6.2622e+00 -5.7822e+00 -5.2497e+00 +5.0749e+00 +5.1362e+00
18528 +9.187067564e-01 +9.187067564e-01 +6.569087068e+02 +6.559900000e+02 +4.5657e+00 -5.4666e+00 -4.6702e+00 +5.4170e+00 -5.4024e+00 -5.5794e+00 -5.3983e+00 +5.1435e+00 -5.0528e+00 -5.0561e+00 +6.1098e+00 +5.0810e+00 +5.1366e+00 -4.9867e+00 +5.0379e+00 +6.2622e+00 -6.5782e+00 -5.2497e+00 +5.0749e+00 +5.0906e+00
18709 +5.524651119e-01 +5.524651119e-01 +6.565424651e+02 +6.559900000e+02 +4.5657e+00 -4.9521e+00 -5.3145e+00 +6.5940e+00 -5.4024e+00 -5.5794e+00 -5.3983e+00 +5.1435e+00 -5.0528e+00 -5.0561e+00 +6.1098e+00 +5.0810e+00 +5.1366e+00 -4.9867e+00 +5.0379e+00 +6.2622e+00 -6.5782e+00 -5.2497e+00 +5.0749e+00 +5.0906e+00
77201 +2.731158689e-01 +2.731158689e-01 +6.562631159e+02 +6.559900000e+02 +5.2361e+00 -4.9771e+00 -6.0544e+00 +5.4378e+00 -4.8477e+00 -5.2309e+00 -5.0973e+00 +5.4740e+00 -6.2477e+00 -5.4943e+00 +5.7073e+00 +5.6978e+00 +5.4288e+00 -5.0657e+00 +5.3864e+00 +5.1313e+00 -5.3344e+00 -5.2227e+00 +6.2174e+00 +5.0838e+00
77392 +1.427329587e-01 +1.427329587e-01 +6.561327330e+02 +6.559900000e+02 +5.2361e+00 -5.3605e+00 -5.0570e+00 +5.3247e+00 -4.9121e+00 -5.2309e+00 -5.0973e+00 +5.4740e+00 -6.2477e+00 -5.4943e+00 +5.7073e+00 +5.6978e+00 +5.4288e+00 -5.0657e+00 +5.4873e+00 +5.3354e+00 -6.4721e+00 -5.2227e+00 +7.0158e+00 +5.6882e+00
